site_id,site_name,short_name,construction,year_built,year_renovated,zip_code,city,state,CEC_CZ,ASHRAE_CZ,bldg_type_sub,bldg_type,number_floor,total_floor_area_ft2,conditioned_floor_area_ft2,peak_kW,hvac_type,hvac_plant,hvac_capacity,hvac_system,hvac_size_tons_sf,dr_strategy_implemented_1,dr_strategy_implemented_2,dr_strategy_implemented_3,dr_strategy_implemented_4,measure_code,baseline_model,reference
32,"Target, Hayward Store",Target,,1902,,94541,Hayward,CA,3,3C,Retail,Retail,1,130000,130000,428.00,,,,,,None.,,,None.,"CDB10, CDA40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
33,"United States Postal Service, San Jose Process and Distribution Center",USPS,,1998,,95110,San Jose,CA,4,3C,Postal service,Office,1,390000,390000,1676.00,,,,,,None.,,,The chiller demand limit will be increased in 5% increments with 15-30 minutes per step change,CDA12,OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
34,"Bank of America, Concord",Office/Data Center,,1985,,94520,Concord,CA,12,3B,"Office, data center",Office+DataCenter,4,616000,708000,5712.00,,,,,,,,,,"CDB20, CDB40, CDB50, CDB60, CDA11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
35,Chabot Space and Science Center,Chabot,,2000,,94619,Oakland,CA,3,3C,Museum,Museum,2,86000,86000,336.00,,,,,,,,,,"CDB10, CDB11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
36,MDF,MDF,,1981,,94553,Martinez,CA,3,3C,Detention Facility,Detention Facility,1,172300,172300,561.00,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
37,Fremont Unified School Centerville,Centerville,,1980,,94536,Fremont,CA,3,3C,Junior High school,School,1,NA,NA,332.00,,,,,,,,,,"CDB10, CDB11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
38,"IKEA, East Palo Alto Store",IKEA,,2000,,94303,Palo Alto,CA,4,3C,Furniture retail,Retail Furniture,1,300000,300000,1191.00,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
39,"IKEA, Emeryville Store",IKEA,,2000,,94608,Emeryville,CA,3,3C,Furniture retail,Retail Furniture,1,274000,274000,1466.00,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
40,Solectron Corporation,Solectron,,1993,,95035,Milpitas,CA,3,3C,"Office, Manufacture",Office,9,499206,499206,4655.00,,,,,,,,,,CDB10,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
41,Svenhard's Swedish Bakery,Svenhard's,,1988,,94612,Oakland,CA,3,3C,Bakery,Restaurant,1,101000,101000,696.00,,,,,,,,,,CDA40,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
42,"Sybase, Corporate Head",Sybase,,2002,,94568,Pleasanton,CA,3,3C,Hi-tech office,Office,2,425000,425000,1995.00,,,,,,,,,,CDA40,OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
43,"Target, Antioch Store",Target Antioch,,2004,,94531,Antioch,CA,12,3B,Retail,Retail,1,140686,140686,572.00,,,,,,,,,,"CDB10, CDA11",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
44,"Target, Bakersfield Store",Target Bakersfield,,2000,,93304,Bakersfield,CA,13,3B,Retail,Retail,1,143941,143941,645.00,,,,,,,,,,"CDB10, CDA11, CDA40",OAT_MA,"Piette, M A, D Watson, N Motegi, S Kiliccote, Mary Ann Piette, David Watson, Naoya Motegi, and Sila Kiliccote. 2007. Automated Critical Peak Pricing Field Tests: 2006 Pilot Program Description and Results."
