site_id,site_name,data_source,short_name,construction,year_built,year_renovated,zip_code,city,state,CEC_CZ,ASHRAE_CZ,bldg_type_sub,bldg_type,number_floor,total_floor_area_ft2,conditioned_floor_area_ft2,peak_kW,hvac_type,hvac_plant,hvac_type_desc,hvac_plant_desc,hvac_capacity,hvac_system,hvac_size_tons_sf,dr_strategy_implemented_1,dr_strategy_implemented_2,dr_strategy_implemented_3,dr_strategy_implemented_4,measure_code,baseline_model,reference
119,Alameda County Water District,field-testing,ACWD Office,,1914,,94538,Fremont,CA,3,3C,"Office, lab",Office+Lab,1,51200,51200,347,Chiller + AHU + VAV,,,,,,,None.,"Boiler disabled
CHW setpoint raised to 50 ¡F
Current limiting to 70%. 
SAT increased from 55 ¡F to 65 ¡F for AHUs 1, 2, 3 and Lab AHU.
DSP setpoint decreased from 1.5"" to 1.0"".
Zone setpoint increased to 75 ¡F.",Zone setpoint increased to 78 ¡F,Extend shed control 2 hours(until 8 pm),"CDB10, CDB20, CDB40, CDB50",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
120,Cinemark Yuba City,field-testing,,,2006,,95993,Yuba City,CA,11,3B,theater,theater,,38934,38934,161,Package RTU,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
121,Cinemark Redwood City,field-testing,,,2006,,94063,"825 Middlefield Rd, Redwood City",CA,3,3C,theater,theater,,32494,32494,190,Package RTU,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
122,Cinemark Walnut Creek,field-testing,,,2003,,94596,"1201 Locust St, Walnut Creek",CA,12,3B,theater,theater,,50000,50000,378,Package RTU,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
123,Cinemark Salinas,field-testing,,,2003,,93906,"350 Northridge Shopping Center, Salinas",CA,3,3C,theater,theater,,44068,44068,138,Package RTU,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
124,Cinemark San Mateo,field-testing,,,2003,,94401,"320 East 2nd Avenue, San Mateo",CA,3,3C,theater,theater,,36880,36880,254,Package RTU,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
125,Cinemark Vallejo,field-testing,,,1992,,94591,"109 Plaza Dr, Vallejo",CA,2,3C,theater,theater,,49772,49772,194,Package RTU,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
126,Cinemark Tracy,field-testing,,,1996,,95304,"3300 N. Naglee Rd (West Valley Mall), Tracy",CA,12,3B,theater,theater,,41155,41155,228,Package RTU,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
127,Cinemark San Francisco,field-testing,,,2006,,94103,"845 Market St, Suite 500, San Francisco",CA,3,3C,theater,theater,,53000,53000,316,Package RTU,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
128,Cinemark Mountain View,field-testing,,,1985,,94043,"1500 N Shoreline Blvd, Mountain View",CA,4,3C,theater,theater,,74928,74928,328,Package RTU,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
129,Cinemark Fremont,field-testing,,,2012,,94538,Fremont,CA,3,3C,theater,theater,,63230,63230,305,Package RTU,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
130,County of Alameda - Glen Dyer Detention Facility,field-testing,661 Washington St.,,1964,1995,94607,Oakland,CA,3,3C,Government offices,Office,,183856,183856,851,Chiller + AHU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
131,County of Alameda - Rene Davidson Courthouse,field-testing,1225 Fallon St.,,1934,,94612,Oakland,CA,3,3C,Government offices,Office,,256019,256019,700,Chiller + AHU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
132,County of Alameda - Administration Building,field-testing,1221 Oak St.,,1966,,94606,Oakland,CA,3,3C,Government offices,Office,,209685,209685,622,Chiller + AHU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
133,County of Alameda - SSA Broadway,field-testing,401 Broadway,,1960,,94607,Oakland,CA,3,3C,Government offices,Office,,59952,59952,250,Package RTU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
134,County of Alameda - Madison St. Building,field-testing,1106 Madison St.,,1960,,94607,Oakland,CA,3,3C,Government offices,Office,,87936,87936,246,Package RTU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
135,County of Alameda - Probation Center Annex,field-testing,400 Broadway,,1907,,94607,Oakland,CA,3,3C,Government offices,Office,,61167,61167,197,Package RTU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
136,County of Alameda - Courthouse Square,field-testing,24085 Amador St.,,1965,,94544,Hayward,CA,3,3C,Government offices,Office,,47460,47460,148,Package RTU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
137,County of Contra Costa 2500 Alhambra,field-testing,,,1998,,94553,"2500 ALHAMBRA AVE, Martinez",CA,3,3C,Hospital,Office,,,,,Chiller + AHU + VAV,,,,,,,,,,,CDB10,10/10_MA_CBL,PGE ADR Project
138,County of Contra Costa 30 Douglas,field-testing,,,1988,,94553,"30 DOUGLAS DR, Martinez",CA,3,3C,Government offices,Office,,35305,35305,,Package RTU + VAV,,,,,,,,,,,CDB10,10/10_MA_CBL,PGE ADR Project
139,County of Contra Costa 651 Pine,field-testing,,,1954,will be demolished 2021,94553,"651 PINE ST, Martinez",CA,3,3C,Government offices,Office,,20000,20000,,Package RTU + VAV,,,,,,,,,,,CDB10,10/10_MA_CBL,PGE ADR Project
140,County of Contra Costa 595 Center,field-testing,,,1985,,94553,"595 CENTER AVE, Martinez",CA,3,3C,Government offices,Office,,42544,42544,,Package RTU + VAV,,,,,,,,,,,CDB10,10/10_MA_CBL,PGE ADR Project
141,County of Contra Costa 597 Center,field-testing,,,1985,,94553,"597 CENTER AVE, Martinez",CA,3,3C,Government offices,Office,,51406,51406,,Package RTU + VAV,,,,,,,,,,,CDB10,10/10_MA_CBL,PGE ADR Project
142,County of Contra Costa 4545 Delta,field-testing,,,1988,,94509,"4545 DELTA FAIR BLVD, Martinez",CA,12,3B,Government offices,Office,,52734,52734,,Package RTU + VAV,,,,,,,,,,,CDB10,10/10_MA_CBL,PGE ADR Project
143,County of Contra Costa 1000 Ward,field-testing,,,1988,,94553,"1000 WARD ST, Martinez",CA,3,3C,Government offices,Office,,51000,51000,,Package RTU + VAV,,,,,,,,,,,CDB10,10/10_MA_CBL,PGE ADR Project
144,County of Contra Costa 40 Douglas,field-testing,,,1991,,94553,"40 DOUGLAS DR, Martinez",CA,3,3C,Government offices,Office,,34554,34554,,Package RTU + VAV,,,,,,,,,,,CDB10,10/10_MA_CBL,PGE ADR Project
145,County of Contra Costa 50 Douglas,field-testing,,,1985,,94553,"50 DOUGLAS DR, Martinez",CA,3,3C,Government offices,Office,,92024,92024,,Package RTU + VAV,,,,,,,,,,,CDB10,10/10_MA_CBL,PGE ADR Project
146,County of San Mateo 400 County,field-testing,,,1950,,94063,"400 County Center, Redwood City",CA,3,3C,Government offices,Office,,42000,42000,204,Package RTU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
147,Kaiser Walnut Creek Lennon,field-testing,,,1986,,94598,"501 LENNON LN, Walnut Creek",CA,12,3B,General Office,Office,,98950,98950,289,Package RTU + VAV,,,,,,,,,,,CDB10,10/10_MA_CBL,PGE ADR Project
148,Kaiser Pleasanton,field-testing,,,1998,,94588,"4480 HACIENDA DR, Pleasanton",CA,3,3C,General Office,Office,,193442,193442,1042,Chiller + AHU + VAV,,,,,,,,,,,CDB10,10/10_MA_CBL,PGE ADR Project
149,Kaiser Walnut Creek,field-testing,,,1978,,94598,"25 N VIA MONTE, Walnut Creek",CA,12,3B,General Office,Office,,79360,79360,378,Package RTU + VAV,,,,,,,,,,,CDB10,10/10_MA_CBL,PGE ADR Project
150,US GENERAL SERVICES ADMINISTRATION,field-testing,,,1964,,94102,"450 GOLDEN GATE AVE, SAN FRANCISCO",CA,3,3C,Government offices,Office,18,605000,605000,2278,Chiller + AHU + VAV,,,,,,,,,,,CDB10,10/10_MA_CBL,PGE ADR Project
151,Menlo Business Park 1165,field-testing,1165 O'Brien dr.,,2007,,94025,Menlo Park,CA,4,3C,Office,Office,,10076,10076,29,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
152,Menlo Business Park 1360,field-testing,1360 O'BRIEN DR.,,1984,,94025,Menlo Park,CA,4,3C,Office,Office,,20624,20624,264,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
153,Menlo Business Park 1135,field-testing,1135 O'Brien Dr.,,2007,,94025,Menlo Park,CA,4,3C,Office,Office,,16831,16831,56,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
154,Menlo Business Park 1530,field-testing,"1530 O'Brien Drive, suite C",,1986,,94025,Menlo Park,CA,4,3C,Office,Office,,35220,35220,164,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
155,Menlo Business Park 1605,field-testing,1605 ADAMS DR.,,1989,,94025,Menlo Park,CA,4,3C,Office,Office,,47547,47547,367,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
156,Menlo Business Park 1330,field-testing,1330 O'Brien Dr.,,1984,,94025,Menlo Park,CA,4,3C,Office,Office,,25366,25366,236,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
157,Menlo Business Park 1455,field-testing,1455 ADAMS Dr.,,1984,,94025,Menlo Park,CA,4,3C,Office,Office,,56529,56529,354,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
158,Menlo Business Park 1490,field-testing,1490 O'BRIEN DR.,,1989,,94025,Menlo Park,CA,4,3C,Office,Office,,30623,30623,147,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
159,Menlo Business Park 1505 Adams,field-testing,1505 ADAMS DR.,,1989,,94025,Menlo Park,CA,4,3C,Office,Office,,30240,30240,77,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
160,Menlo Business Park 1505 OBrien,field-testing,1505 O'Brien dr.,,1986,,94025,Menlo Park,CA,4,3C,Office,Office,,59607,59607,323,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
161,Menlo Business Park 1525,field-testing,1525 O'BRIEN DR.,,1989,,94025,Menlo Park,CA,4,3C,Office,Office,,72300,72300,433,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
162,Menlo Business Park 1530,field-testing,1530 O'BRIEN DR.,,1986,,94025,Menlo Park,CA,4,3C,Office,Office,,35220,35220,164,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
163,Menlo Business Park 1555,field-testing,1555 ADAMS DR.,,1989,,94025,Menlo Park,CA,4,3C,Office,Office,,50373,50373,299,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
164,Menlo Business Park 1600,field-testing,1600 ADAMS DR.,,1999,,94025,Menlo Park,CA,4,3C,Office,Office,,10667,10667,66,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
165,Menlo Business Park 1140,field-testing,1140 O'Brien Dr.,,1986,,94025,Menlo Park,CA,4,3C,Office,Office,,31254,31254,222,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
166,Menlo Business Park 1430,field-testing,1430 O'Brien Dr.,,1986,,94025,Menlo Park,CA,4,3C,Office,Office,,64951,64951,462,Package RTU + VAV,,,,,,,cycle on and off,,,,CDA12,OAT_MA,PGE ADR Project
167,braun2001,field-testing,braun2001,,1990,,60007,Chicago,IL,n/a,5A,Office,Office,4,1400000,1400000,10000,Chiller + AHU + VAV,,,centrifugal chiller,,,,Raise temperature by 4 degrees,,,,CDB10,Custom_Baseline,braun2001
168,braun2002,laboratory-testing,braun2002,,1990,,50315,Des Moines,IA,,5A,Office,Office,,1100,2200,15.5,Chiller + AHU + VAV,,,,,,,Raise temperature by 4 degrees,,,,CDB10,Custom_Baseline,braun2002
169,xu2004,field-testing,xu2004,,1990,,95404,Santa Rosa,CA,2,3B,Office,Office,,80000,80000,400,Chiller + AHU + VAV,,VAV,air-cooled chiller,,,,Raise temperature by 6 degrees,,,,CDB10,Custom_Baseline,xu2004 - santa rosa federal building
170,motegi2004,field-testing,motegi2004,concrete,1993,,94612,Oakland,CA,3,3C,Office,Office,,978000,978000,3795,Chiller + AHU + VAV,,VAV,centrifugal chiller,,,,Raise temperature by 4 degrees,,,,CDB10,Custom_Baseline,motegi2004 - aceee
171,bldg182,field-testing,yin2019,concrete,1918,,20374,Washington DC,n/a,n/a,4A,Office,Office,,35659,35659,130,Chiller + AHU + VAV,,VAV,air-cooled chiller,,,,Raise temperature by 4 degrees,,,,CDB10,Custom_Baseline,yin2016 - estcp
