site_name,Baseline,DR-Event-Day,DR-StartTime,DR-EndTime,kW_Max,kW_Ave,kW_Min,WBP%_Max,WBP%_Avg,WBP%_Min,W/ft2_Max,W/ft2_Avg,W/ft2_Min,source
OSIsoft,OAT_MA_CBL,11/5/04,13:45,14:45,12.00,3.00,,0.06,0.01,,0.20,0.05,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
OSIsoft,OAT_MA_CBL,11/5/04,14:45,15:45,10.00,-2.00,,0.05,-0.01,,0.16,-0.03,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,OAT_MA_CBL,9/21/04,13:15,14:15,108.00,99.00,,0.15,0.14,,0.56,0.51,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,OAT_MA_CBL,9/21/04,14:15,15:15,120.00,108.00,,0.19,0.17,,0.63,0.56,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,OAT_MA_CBL,9/21/04,15:15,16:15,101.00,94.00,,0.17,0.16,,0.52,0.49,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,OAT_MA_CBL,10/13/04,12:45,13:45,63.00,39.00,,0.09,0.06,,0.33,0.20,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,OAT_MA_CBL,10/13/04,13:45,14:45,123.00,102.00,,0.20,0.16,,0.64,0.53,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,OAT_MA_CBL,10/13/04,14:45,15:45,74.00,53.00,,0.12,0.09,,0.39,0.28,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,OAT_MA_CBL,11/5/04,12:45,13:45,124.00,88.00,,0.20,0.14,,0.65,0.46,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,OAT_MA_CBL,11/5/04,13:45,14:45,136.00,96.00,,0.22,0.17,,0.71,0.50,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,OAT_MA_CBL,11/5/04,14:45,15:45,83.00,77.00,,0.16,0.15,,0.43,0.40,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
UC Santa Barbara Davidson Library,OAT_MA_CBL,9/8/04,12:45,13:45,62.00,24.00,,0.07,0.03,,0.22,0.08,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
UC Santa Barbara Davidson Library,OAT_MA_CBL,9/8/04,13:45,14:45,274.00,263.00,,0.31,0.30,,0.95,0.91,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
UC Santa Barbara Davidson Library,OAT_MA_CBL,9/8/04,14:45,15:45,46.00,-44.00,,0.05,-0.05,,0.16,-0.15,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"US Postal Service, San Jose Process & Distribution Center",OAT_MA_CBL,10/13/04,12:45,13:45,333.00,205.00,,0.23,0.14,,0.85,0.53,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"US Postal Service, San Jose Process & Distribution Center",OAT_MA_CBL,10/13/04,13:45,14:45,321.00,272.00,,0.22,0.19,,0.82,0.70,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"US Postal Service, San Jose Process & Distribution Center",OAT_MA_CBL,10/13/04,14:45,15:45,219.00,83.00,,0.15,0.06,,0.56,0.21,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"US Postal Service, San Jose Process & Distribution Center",OAT_MA_CBL,11/5/04,12:45,13:45,33.00,18.00,,0.03,0.02,,0.08,0.05,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"US Postal Service, San Jose Process & Distribution Center",OAT_MA_CBL,11/5/04,13:45,14:45,196.00,132.00,,0.17,0.12,,0.50,0.34,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"US Postal Service, San Jose Process & Distribution Center",OAT_MA_CBL,11/5/04,14:45,15:45,111.00,74.00,,0.10,0.07,,0.29,0.19,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"Alameda County Water District, Headquarter",,9/29/05,12:00,15:00,101.00,67.00,,0.38,0.24,,2.30,1.53,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Alameda County Water District, Headquarter",,9/29/05,15:00,18:00,72.00,57.00,,0.23,0.19,,1.63,1.29,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Alameda County Water District, Headquarter",,10/6/05,12:00,15:00,74.00,55.00,,0.31,0.22,,1.69,1.25,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
