site_name,data_source,Baseline,DR-Program,DR-Event-Day,DR-StartTime,DR-EndTime,max_oat,kW_Max,kW_Ave,kW_Min,WBP%_Max,WBP%_Avg,WBP%_Min,W/ft2_Max,W/ft2_Avg,W/ft2_Min,source
OSIsoft,field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,12,3,,0.06,0.01,,0.2,0.05,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
OSIsoft,field-testing,OAT_MA_CBL,,11/5/04,14:45,15:45,,10,-2,,0.05,-0.01,,0.16,-0.03,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,field-testing,OAT_MA_CBL,,9/21/04,13:15,14:15,,108,99,,0.15,0.14,,0.56,0.51,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,field-testing,OAT_MA_CBL,,9/21/04,14:15,15:15,,120,108,,0.19,0.17,,0.63,0.56,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,field-testing,OAT_MA_CBL,,9/21/04,15:15,16:15,,101,94,,0.17,0.16,,0.52,0.49,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,field-testing,OAT_MA_CBL,,10/13/04,12:45,13:45,,63,39,,0.09,0.06,,0.33,0.2,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,field-testing,OAT_MA_CBL,,10/13/04,13:45,14:45,,123,102,,0.2,0.16,,0.64,0.53,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,field-testing,OAT_MA_CBL,,10/13/04,14:45,15:45,,74,53,,0.12,0.09,,0.39,0.28,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,124,88,,0.2,0.14,,0.65,0.46,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,136,96,,0.22,0.17,,0.71,0.5,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Roche Palo Alto,field-testing,OAT_MA_CBL,,11/5/04,14:45,15:45,,83,77,,0.16,0.15,,0.43,0.4,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
UC Santa Barbara Davidson Library,field-testing,OAT_MA_CBL,,9/8/04,12:45,13:45,,62,24,,0.07,0.03,,0.22,0.08,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
UC Santa Barbara Davidson Library,field-testing,OAT_MA_CBL,,9/8/04,13:45,14:45,,274,263,,0.31,0.3,,0.95,0.91,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
UC Santa Barbara Davidson Library,field-testing,OAT_MA_CBL,,9/8/04,14:45,15:45,,46,-44,,0.05,-0.05,,0.16,-0.15,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"US Postal Service, San Jose Process & Distribution Center",field-testing,OAT_MA_CBL,,10/13/04,12:45,13:45,,333,205,,0.23,0.14,,0.85,0.53,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"US Postal Service, San Jose Process & Distribution Center",field-testing,OAT_MA_CBL,,10/13/04,13:45,14:45,,321,272,,0.22,0.19,,0.82,0.7,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"US Postal Service, San Jose Process & Distribution Center",field-testing,OAT_MA_CBL,,10/13/04,14:45,15:45,,219,83,,0.15,0.06,,0.56,0.21,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"US Postal Service, San Jose Process & Distribution Center",field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,33,18,,0.03,0.02,,0.08,0.05,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"US Postal Service, San Jose Process & Distribution Center",field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,196,132,,0.17,0.12,,0.5,0.34,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
"US Postal Service, San Jose Process & Distribution Center",field-testing,OAT_MA_CBL,,11/5/04,14:45,15:45,,111,74,,0.1,0.07,,0.29,0.19,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Alameda County Water,field-testing,,,9/29/05,12:00,15:00,,101,67,,0.38,0.24,,2.3,1.53,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
