,precool_deg,reset_deg,max_oat,shed_W_ft2,"Vintage, Climate"
1009,0,5,60.08,0.203793073,"1980-2004, 3C"
1010,0,6,60.08,0.209333022,"1980-2004, 3C"
1011,2,4,60.08,0.193826716,"1980-2004, 3C"
1012,2,5,60.08,0.204434219,"1980-2004, 3C"
1013,2,6,60.08,0.208243478,"1980-2004, 3C"
1014,3,4,60.08,0.197156074,"1980-2004, 3C"
1015,3,5,60.08,0.205220557,"1980-2004, 3C"
1016,3,6,60.08,0.208075091,"1980-2004, 3C"
1017,4,4,60.08,0.200075413,"1980-2004, 3C"
1018,4,5,60.08,0.206463963,"1980-2004, 3C"
1019,4,6,60.08,0.208373174,"1980-2004, 3C"
1020,0,4,84.92,0.369681571,"1980-2004, 3C"
1021,0,5,84.92,0.453403314,"1980-2004, 3C"
1022,0,6,84.92,0.53128404,"1980-2004, 3C"
1023,2,4,84.92,0.41430076,"1980-2004, 3C"
1024,2,5,84.92,0.492785877,"1980-2004, 3C"
1025,2,6,84.92,0.563874823,"1980-2004, 3C"
1026,3,4,84.92,0.434093293,"1980-2004, 3C"
1027,3,5,84.92,0.512554066,"1980-2004, 3C"
1028,3,6,84.92,0.578578866,"1980-2004, 3C"
1029,4,4,84.92,0.4546431,"1980-2004, 3C"
1030,4,5,84.92,0.529438712,"1980-2004, 3C"
1031,4,6,84.92,0.592532663,"1980-2004, 3C"
1032,0,4,78.08,0.338995194,"1980-2004, 3C"
1033,0,5,78.08,0.411855107,"1980-2004, 3C"
1034,0,6,78.08,0.472530364,"1980-2004, 3C"
1035,2,4,78.08,0.378233711,"1980-2004, 3C"
1036,2,5,78.08,0.443372386,"1980-2004, 3C"
1037,2,6,78.08,0.499081791,"1980-2004, 3C"
1038,3,4,78.08,0.395569254,"1980-2004, 3C"
1039,3,5,78.08,0.45980904,"1980-2004, 3C"
1040,3,6,78.08,0.511094003,"1980-2004, 3C"
1041,4,4,78.08,0.413135058,"1980-2004, 3C"
1042,4,5,78.08,0.472823115,"1980-2004, 3C"
1043,4,6,78.08,0.520508335,"1980-2004, 3C"
1044,0,4,62.06,0.224332812,"1980-2004, 3C"
1045,0,5,62.06,0.24607595,"1980-2004, 3C"
1046,0,6,62.06,0.26104929,"1980-2004, 3C"
1047,2,4,62.06,0.235121582,"1980-2004, 3C"
1048,2,5,62.06,0.252953547,"1980-2004, 3C"
1049,2,6,62.06,0.26364892,"1980-2004, 3C"
1050,3,4,62.06,0.239645955,"1980-2004, 3C"
1051,3,5,62.06,0.256083584,"1980-2004, 3C"
1052,3,6,62.06,0.264338889,"1980-2004, 3C"
1053,4,4,62.06,0.244123785,"1980-2004, 3C"
1054,4,5,62.06,0.257948078,"1980-2004, 3C"
1055,4,6,62.06,0.264790415,"1980-2004, 3C"
1056,0,4,66.92,0.270308083,"1980-2004, 3C"
1057,0,5,66.92,0.310325078,"1980-2004, 3C"
1058,0,6,66.92,0.33346336,"1980-2004, 3C"
1059,2,4,66.92,0.291525401,"1980-2004, 3C"
1060,2,5,66.92,0.321963126,"1980-2004, 3C"
1061,2,6,66.92,0.338386113,"1980-2004, 3C"
1062,3,4,66.92,0.300801257,"1980-2004, 3C"
1063,3,5,66.92,0.326095981,"1980-2004, 3C"
1064,3,6,66.92,0.33936874,"1980-2004, 3C"
1065,4,4,66.92,0.309976268,"1980-2004, 3C"
1066,4,5,66.92,0.329769708,"1980-2004, 3C"
1067,4,6,66.92,0.340456892,"1980-2004, 3C"
1068,0,4,66.02,0.258467316,"1980-2004, 3C"
1069,0,5,66.02,0.293666916,"1980-2004, 3C"
1070,0,6,66.02,0.312557073,"1980-2004, 3C"
1071,2,4,66.02,0.278395952,"1980-2004, 3C"
1072,2,5,66.02,0.303450437,"1980-2004, 3C"
1073,2,6,66.02,0.315932258,"1980-2004, 3C"
1074,3,4,66.02,0.287134072,"1980-2004, 3C"
1075,3,5,66.02,0.306576651,"1980-2004, 3C"
1076,3,6,66.02,0.316313414,"1980-2004, 3C"
1077,4,4,66.02,0.294270319,"1980-2004, 3C"
1078,4,5,66.02,0.309821097,"1980-2004, 3C"
1079,4,6,66.02,0.316273415,"1980-2004, 3C"
1080,0,4,62.06,0.211956729,"1980-2004, 3C"
1081,0,5,62.06,0.228326361,"1980-2004, 3C"
1082,0,6,62.06,0.235577541,"1980-2004, 3C"
1083,2,4,62.06,0.218306241,"1980-2004, 3C"
1084,2,5,62.06,0.230628298,"1980-2004, 3C"
1085,2,6,62.06,0.236669674,"1980-2004, 3C"
1086,3,4,62.06,0.220824424,"1980-2004, 3C"
1087,3,5,62.06,0.231113214,"1980-2004, 3C"
1088,3,6,62.06,0.236319704,"1980-2004, 3C"
1089,4,4,62.06,0.223767206,"1980-2004, 3C"
1090,4,5,62.06,0.232019428,"1980-2004, 3C"
1091,4,6,62.06,0.237278768,"1980-2004, 3C"
1092,0,4,66.02,0.250708424,"1980-2004, 3C"
1093,0,5,66.02,0.276088344,"1980-2004, 3C"
1094,0,6,66.02,0.29352059,"1980-2004, 3C"
1095,2,4,66.02,0.264913119,"1980-2004, 3C"
1096,2,5,66.02,0.284275096,"1980-2004, 3C"
1097,2,6,66.02,0.295406255,"1980-2004, 3C"
1098,3,4,66.02,0.269710953,"1980-2004, 3C"
1099,3,5,66.02,0.287548736,"1980-2004, 3C"
1100,3,6,66.02,0.296148998,"1980-2004, 3C"
1101,4,4,66.02,0.273815131,"1980-2004, 3C"
1102,4,5,66.02,0.289758782,"1980-2004, 3C"
1103,4,6,66.02,0.296501634,"1980-2004, 3C"
1104,0,4,69.08,0.299349721,"1980-2004, 3C"
1105,0,5,69.08,0.352468515,"1980-2004, 3C"
1106,0,6,69.08,0.384560806,"1980-2004, 3C"
1107,2,4,69.08,0.327132619,"1980-2004, 3C"
1108,2,5,69.08,0.369192414,"1980-2004, 3C"
1109,2,6,69.08,0.391631046,"1980-2004, 3C"
1110,3,4,69.08,0.34088824,"1980-2004, 3C"
1111,3,5,69.08,0.376709968,"1980-2004, 3C"
1112,3,6,69.08,0.394474721,"1980-2004, 3C"
1113,4,4,69.08,0.350646043,"1980-2004, 3C"
1114,4,5,69.08,0.382549813,"1980-2004, 3C"
1115,4,6,69.08,0.396542195,"1980-2004, 3C"
1116,0,4,82.94,0.393598977,"1980-2004, 3C"
1117,0,5,82.94,0.479334715,"1980-2004, 3C"
1118,0,6,82.94,0.567054871,"1980-2004, 3C"
1119,2,4,82.94,0.442525302,"1980-2004, 3C"
1120,2,5,82.94,0.526547931,"1980-2004, 3C"
1121,2,6,82.94,0.605559184,"1980-2004, 3C"
1122,3,4,82.94,0.46580605,"1980-2004, 3C"
1123,3,5,82.94,0.543628076,"1980-2004, 3C"
1124,3,6,82.94,0.62714648,"1980-2004, 3C"
1125,4,4,82.94,0.486949117,"1980-2004, 3C"
1126,4,5,82.94,0.569396005,"1980-2004, 3C"
1127,4,6,82.94,0.64651175,"1980-2004, 3C"
1128,0,4,75.02,0.359521397,"1980-2004, 3C"
1129,0,5,75.02,0.430300546,"1980-2004, 3C"
1130,0,6,75.02,0.489089645,"1980-2004, 3C"
1131,2,4,75.02,0.400336238,"1980-2004, 3C"
1132,2,5,75.02,0.461842719,"1980-2004, 3C"
1133,2,6,75.02,0.511346219,"1980-2004, 3C"
1134,3,4,75.02,0.417636208,"1980-2004, 3C"
1135,3,5,75.02,0.478804192,"1980-2004, 3C"
1136,3,6,75.02,0.521601882,"1980-2004, 3C"
1137,4,4,75.02,0.435585054,"1980-2004, 3C"
1138,4,5,75.02,0.491152352,"1980-2004, 3C"
1139,4,6,75.02,0.528144327,"1980-2004, 3C"
1140,0,4,64.04,0.134794189,"1980-2004, 3C"
1141,0,5,64.04,0.138098533,"1980-2004, 3C"
1142,0,6,64.04,0.138095653,"1980-2004, 3C"
1143,2,4,64.04,0.135839218,"1980-2004, 3C"
1144,2,5,64.04,0.135844318,"1980-2004, 3C"
1145,2,6,64.04,0.135843847,"1980-2004, 3C"
1146,3,4,64.04,0.134590215,"1980-2004, 3C"
1147,3,5,64.04,0.134594607,"1980-2004, 3C"
1148,3,6,64.04,0.134590705,"1980-2004, 3C"
1149,4,4,64.04,0.13382372,"1980-2004, 3C"
1150,4,5,64.04,0.133825564,"1980-2004, 3C"
1151,4,6,64.04,0.133821456,"1980-2004, 3C"
1152,0,4,68,0.311646555,"1980-2004, 3C"
1153,0,5,68,0.34126572,"1980-2004, 3C"
1154,0,6,68,0.349205891,"1980-2004, 3C"
1155,2,4,68,0.328379739,"1980-2004, 3C"
1156,2,5,68,0.342583108,"1980-2004, 3C"
1157,2,6,68,0.344869435,"1980-2004, 3C"
1158,3,4,68,0.334365165,"1980-2004, 3C"
1159,3,5,68,0.344112938,"1980-2004, 3C"
1160,3,6,68,0.344824324,"1980-2004, 3C"
1161,4,4,68,0.339830481,"1980-2004, 3C"
1162,4,5,68,0.345959363,"1980-2004, 3C"
1163,4,6,68,0.34595724,"1980-2004, 3C"
1164,0,4,66.92,0.30100249,"1980-2004, 3C"
1165,0,5,66.92,0.334113701,"1980-2004, 3C"
